ax,ay,az,gx,gy,gz,thetaG,phiG,thetaA,phiA,theta,phi
0.0380859375,-0.0815429687,-1.0708007812,2.8931298255,0.9389312744,1.2595419883,66.8755874633,15.2816858291,1.2595419883,-2.0311455726,24.3978843688,19.9550418853
0.0319824218,-0.0524902343,-1.0217285156,-6.7633585929,6.4809160232,9.1221370697,66.5374221801,15.6057319641,9.1221370697,-1.7905428409,23.5197334289,19.8376960754
0.0446777343,-0.1962890625,-1.0324707031,-1.3816794204,5.9312977790,-4.4656486511,66.4683380126,15.9022970199,-4.4656486511,-2.4342465400,22.7665443420,19.6828899383
0.0166015625,-0.0849609375,-1.0139160156,0.4122137546,2.8702289581,-12.9160308837,66.4889450073,16.0458087921,-12.9160308837,-0.9347849845,22.2356281280,19.4111766815
0.0275878906,-0.1262207031,-1.0102539062,-14.4656486511,-1.4122137069,8.6793889999,65.7656631469,15.9751977920,8.6793889999,-1.5521756172,20.9397201538,18.9227123260
0.0234375000,-0.0998535156,-1.0776367187,-34.4427490234,-8.2061071395,13.7786254882,64.0435256958,15.5648927688,13.7786254882,-1.2406156063,18.7273788452,18.1173477172
0.0173339843,-0.0307617187,-1.0332031250,-26.2977104187,-4.6106872558,17.7862586975,62.7286415100,15.3343582153,17.7862586975,-0.9607318878,17.0301399230,17.5098628997
0.0273437500,0.0390625000,-1.1142578125,-0.5572519302,2.4809160232,-7.0000000000,62.7007789611,15.4584035873,-7.0000000000,-1.4048867225,16.7023754119,17.2531337738
-0.0153808593,-0.0432128906,-1.0327148437,1.6412214279,-26.5267181396,48.6564903259,62.7828407287,14.1320676803,48.6564903259,0.8525323867,16.4008331298,15.6253128051
0.0070800781,0.0163574218,-1.0109863281,-13.1221370697,4.4732823371,-27.4961833953,62.1267356872,14.3557319641,-27.4961833953,-0.4011913299,15.4483699798,15.5239734649
0.0258789062,0.1428222656,-1.0100097656,-2.2900762557,3.5038168430,-17.7022895812,62.0122337341,14.5309228897,-17.7022895812,-1.4532845020,15.1881103515,15.3561153411
0.0170898437,0.0402832031,-1.0419921875,-5.8244276046,0.3816793918,-5.7938933372,61.7210121154,14.5500068664,-5.7938933372,-0.9389297485,14.6432237625,15.0489168167
0.0256347656,0.1621093750,-1.0319824218,-11.2290077209,13.5190839767,-2.3435113430,61.1595611572,15.2259607315,-2.3435113430,-1.4057215690,13.9786319732,15.3822593688
0.0209960937,0.0358886718,-0.9902343750,-7.7557253837,-8.4732828140,5.6564884185,60.7717742919,14.8022966384,5.6564884185,-1.2138726711,13.3605337142,14.6351461410
-0.0415039062,-0.0202636718,-1.0065917968,-0.5572519302,1.5496183395,-21.2824420928,60.7439117431,14.8797779083,-21.2824420928,2.3606112003,13.0429725646,14.4655876159
