ax,ay,az,gx,gy,gz
-6340,-6040,13740,380,1197,288
-5964,-5048,14280,202,941,580
-6840,-6284,14236,-983,112,3783
-6448,-4524,13888,-227,-234,1489
-7256,-4148,14048,525,456,1670
-6780,-4076,13908,-472,522,-43
-6984,-3836,14388,183,396,-1362
-7300,-3440,14472,209,-171,-1428
-7424,-4040,14188,-110,249,-677
-7500,-4008,13952,-388,272,-151
-7512,-4148,14264,-502,472,255
-7500,-4560,14432,-679,89,743
-7236,-4652,14388,-263,-309,922
-6716,-4456,13956,-220,-50,1032
-6748,-4468,13696,-543,133,535
-7052,-4404,14224,-946,-171,16
-7024,-4700,14084,-728,242,-114
-6968,-4676,14244,-443,55,-342
-7248,-4680,14248,-542,142,-224
-7284,-4572,14300,-584,-104,-39
-7500,-4644,14200,-310,-134,382
-7252,-4528,14064,-366,-356,354
-6856,-4388,14104,-645,-71,438
-6968,-4808,13952,-613,140,475
-7044,-5060,14060,-697,-2,-66
-7208,-5056,14308,-490,-11,-67
-7144,-4860,14072,-251,-30,-182
-7044,-4920,14032,-301,-140,-91
-7212,-4872,14024,-396,-44,1
-7184,-4868,14304,-255,-248,-212
-6984,-4840,14040,-63,-190,71
-6996,-4632,13788,2,78,148
-7216,-4800,13856,-416,-148,62
-7340,-4724,13892,-628,-156,-179
-6880,-4716,14400,-466,-58,298
-7264,-5364,14392,-1,311,404
-7472,-5020,13968,163,-530,-402
-7068,-4368,14092,-12,-550,-117
-6944,-4424,13800,-111,-10,333
-7056,-4648,14108,-337,-45,180
-6944,-4588,14244,-453,-102,126
-7104,-4692,14140,-184,-60,119
-7056,-4600,14176,-318,-211,-101
-7028,-4720,14028,-362,-137,-63
-7120,-4836,14236,-481,-189,123
-7076,-4620,14136,-780,-313,35
-7064,-4808,14120,-251,-67,368
-6944,-4796,14136,-214,-220,67
-6928,-4700,14064,-377,-232,150
-6960,-4716,14352,-368,-83,120
-7020,-4488,14180,-280,-57,122
-6960,-4816,14068,-157,-186,-25
-6928,-4888,14160,-166,-266,58
-6916,-4684,14152,-437,-158,18
-6896,-4752,14200,-152,-142,144
-7044,-4812,14160,-137,-172,157
-6816,-4680,14240,-187,-329,33
-6756,-4412,14240,-45,-312,290
-7172,-3900,14568,-200,-342,867
-9080,-2736,14984,-1530,-1740,3068
-8360,-3968,13884,-2122,-3239,3691
-7908,-2828,13452,-1976,-4494,6226
-7288,-2452,13324,-3306,-3750,7659
-7408,-2156,13800,-4592,-3305,8110
-7824,-3564,13612,-6298,-1648,7561
-8496,-4572,14052,-6557,-2664,8138
-7524,-4828,14276,-5428,-4170,8162
-8460,-5196,14312,-3933,-3396,9669
-7444,-6916,14296,-1620,-2117,10501
-6564,-6588,14744,-187,-1824,11425
-6136,-6560,14364,-2030,-1570,10221
-5928,-5840,13908,-3546,-3052,8392
-5232,-5408,13320,-4826,-3347,7443
-4512,-5984,13656,-5095,-2523,6216
-3992,-5508,14184,-2847,-1328,4937
-3744,-4680,15152,-1784,-556,3991
