ax,ay,az,gx,gy,gz
-17040,1380,-1908,-7687,-2462,-3394
-17892,1452,-1944,-7455,239,-4457
-17412,1416,-1844,-7373,1883,-4861
-16508,1400,-1800,-7568,1014,-4622
-16420,1352,-1840,-7869,-733,-4254
-16720,1368,-1804,-7832,347,-3280
-16412,1336,-1760,-7827,1636,-1050
-16040,1260,-1816,-8118,-445,1037
-16816,1340,-1976,-8571,-4794,2118
-18144,1424,-2060,-8597,-6138,2320
-18104,1432,-1988,-8312,-3692,2189
-16300,1300,-1888,-7843,-3443,-1503
-16208,1240,-1836,-7250,1586,-1399
-15524,1144,-1776,-7017,4724,223
-16244,1200,-1752,-7153,4096,1853
-17716,1344,-1932,-7059,3579,2861
-18532,1456,-2068,-6739,4985,3368
-17400,1372,-1924,-6368,5928,3086
-15724,1372,-1708,-6276,3464,1389
-15632,1220,-1812,-6314,-728,-1626
-16740,1404,-1832,-6107,-1453,-4390
-17444,1368,-1852,-5824,91,-6146
-17396,1316,-1860,-5697,1307,-6691
-16724,1276,-1716,-5865,510,-6125
-16360,1324,-1768,-6174,-1034,-4555
-16496,1324,-1780,-6366,-875,-2108
-16528,1312,-1760,-6319,918,908
-16244,1268,-1852,-6379,684,3236
-16608,1368,-1824,-6548,-2397,4185
-17504,1480,-1960,-6598,-4931,3836
-17988,1496,-1956,-6328,-4564,2621
-17164,1412,-1860,-5773,-1621,1079
-15652,1252,-1756,-5332,1019,-302
-15036,1168,-1660,-5143,1353,-1379
-16276,1244,-1792,-4905,1944,-1773
-17728,1368,-1884,-4648,4619,-1363
-18216,1444,-1944,-4427,6874,-712
-17220,1396,-1864,-4464,7259,490
-16148,1296,-1792,-4819,3798,904
-16120,1312,-1704,-5052,-122,107
-16780,1336,-1712,-4970,-833,-1372
-16740,1344,-1828,-4852,-1035,-2774
-16684,1332,-1764,-5000,-3542,-3959
-17236,1472,-1976,-5212,-5864,-4684
-17600,1460,-1992,-5194,-4900,-4363
-16920,1284,-1816,-5008,-1366,-2650
-15540,1168,-1700,-4973,737,-119
-15396,1208,-1728,-5135,-2,1930
-16780,1380,-1728,-5012,237,3245
-17944,1444,-1844,-4671,2598,4211
-17660,1380,-2000,-4346,3694,4498
-16920,1336,-1788,-4147,2930,4185
-15956,1240,-1764,-4109,415,1917
-16136,1264,-1744,-3851,-812,-532
-16480,1256,-1720,-3452,1172,-2265
-16372,1248,-1764,-3184,2405,-3450
-16716,1368,-1796,-3201,1079,-4485
-17568,1476,-1756,-3343,-29,-4988
-17788,1468,-1916,-3344,998,-4582
-16776,1348,-1808,-3272,2610,-3363
-15592,1236,-1740,-3475,1311,-1829
-15792,1200,-1736,-3855,-1998,-120
-17152,1308,-1788,-3962,-3114,1876
-17948,1412,-1852,-3845,-2334,3589
-17420,1352,-1936,-3776,-2120,4378
-16536,1212,-1768,-3734,-3187,4156
-16116,1268,-1748,-3479,-3381,2858
-16300,1288,-1740,-2946,-894,1159
-16192,1236,-1772,-2236,3152,-772
-16108,1288,-1680,-1876,4496,-2564
-17004,1364,-1860,-1833,3778,-3707
-17876,1424,-1912,-1822,3951,-3817
-17768,1392,-1872,-1834,5021,-2969
-16440,1296,-1748,-1967,4405,-1416
-20400,2300,204,-1882,-15510,-3492
-19128,-1040,-2912,18212,6746,2176
-14072,-2648,-3212,-2581,-1573,951
-17132,-1236,-3984,-182,-2072,435
-16552,-252,-3352,-172,3558,3373
-15684,-432,-2924,-1597,-1247,120
-16516,108,-3276,796,-1740,2618
-16620,764,-2792,-2318,-1790,4246
-16720,204,-2892,331,-1675,1658
-16108,-504,-3048,-114,4135,2783
-14856,304,-2268,-2061,-745,518
-16168,2092,-1924,-1135,-3715,-2520
-17064,1240,-2116,-4786,1772,-449
-15212,1936,-2016,2867,-762,-1159
-15712,1284,-1708,-884,-743,-1917
-16576,1376,-1720,1634,-755,-2684
-16972,1344,-1772,1216,-230,-1898
-16432,1156,-1672,1888,885,-89
-15904,1144,-1796,3679,415,1040
-16220,1188,-1752,3564,-1272,1858
-16892,1364,-1852,3630,-1388,1925
-16828,1400,-1888,3991,88,1007
-16200,1360,-1644,4230,423,32
-16052,1340,-1720,4376,-771,-1275
-16600,1272,-1748,4387,-1445,-1393
-16960,1320,-1932,4535,-268,-308
-16284,1228,-1720,4555,665,1063
-15932,1220,-1792,4456,-401,2026
-16408,1336,-1920,4402,-1639,2172
-16996,1352,-1860,4639,-872,1448
-16696,1384,-1852,4952,332,109
-18220,816,-2092,5841,-4353,-1286
-15600,1584,-1096,3818,-2798,-2234
-18204,2344,520,-1107,-3610,-33
-15328,1144,1968,885,-1440,2852
-16236,-3320,1520,2522,-1423,-2905
-18256,1760,3212,533,-3275,-62
-16636,744,2572,1629,-4088,-4013
-14812,-1372,2984,-2560,13577,-14631
-15928,-3772,7976,1122,-9721,-19119
-11448,-11632,6884,10871,-12505,-21021
-1528,-11180,12640,7356,-568,-4506
3844,-5176,12752,1437,-3222,58
1964,-8140,13756,-4097,2120,1994
2520,-11256,13916,-1802,1750,5645
604,-10572,14200,-2130,-1256,3150
3220,-8928,13560,-3346,3867,2502
1916,-11008,12028,-6195,-1913,1310
1364,-12332,10900,-2325,1634,2394
488,-12608,10572,-1845,2817,1160
692,-12952,10784,698,491,-2048
-2188,-14672,9648,-1797,-1314,2290
2016,-11916,9708,1295,-5579,1630
-4252,-13312,17548,3329,-4852,-2487
1388,-12120,10100,-2852,5937,-2083
764,-12016,10160,-455,1239,1270
944,-11740,9296,-2940,2120,-583
2004,-12668,9620,-303,-363,-2101
560,-13572,10492,1218,877,-2531
-1064,-14196,9580,-283,2032,848
848,-10912,11420,495,1523,-1471
160,-12780,11480,-1634,1152,-612
804,-13116,10036,-3373,-4069,-340
2320,-14444,7536,-1906,-6866,-6718
888,-13796,11012,6778,-4988,2760
5472,-10224,10704,-219,555,2710
940,-14360,10268,-3237,5431,621
4984,-12168,10764,-2590,3884,1679
412,-12876,9924,-328,1167,3162
-44,-12668,12980,2470,-4651,-5317
3188,-11356,11876,1268,2982,5410
3244,-9192,9344,-1726,-720,-1909
740,-12652,10356,-2567,836,-1843
1652,-13000,9916,-3023,1100,-1487
ax,ay,az,gx,gy,gz
-172,-2984,13940,6459,14487,-3393
6464,-7792,15892,6283,1526,-8476
2816,-8340,16704,1049,2889,-1442
1452,-2464,15380,1860,2204,-2396
888,-2736,16364,30,4856,-7142
-2048,-1428,13772,5502,9478,2666
-1376,-3484,14436,1473,7368,-11179
-6128,-5396,20728,5369,547,-25763
-10108,3184,11136,5281,14891,-9145
-11344,-904,11124,-9063,21254,-9790
-12680,-1832,4308,-567,4582,8790
-19664,-7636,7440,-410,2648,5173
-17016,-1668,3372,192,-1359,19107
-10412,1792,1180,-2477,3840,2579
-14700,-1672,-720,-1513,8215,-829
-16836,256,640,755,2345,3645
-16084,284,860,-3229,-654,-2352
-16948,332,28,-3416,-1225,-1865
-17084,392,-4,-3355,2145,446
-16124,360,20,-3340,1529,1885
-16140,340,-36,-3485,-2320,1289
-17244,404,-20,-3450,-1921,437
-17148,428,-148,-3226,2064,105
-16056,312,-44,-3219,2343,-847
-16024,324,24,-3305,-1358,-2139
-16648,380,92,-3276,-2247,-2353
-17300,340,-56,-3101,-15,-996
-16516,308,-4,-2953,2321,1192
-15700,296,52,-3053,-228,1836
-16620,324,-48,-3067,-2977,1286
-17488,456,-48,-2533,-402,625
-16572,412,0,-1966,2222,-173
-15912,348,8,-1980,1042,-1460
-16472,304,64,-2017,-1299,-2034
-17756,940,248,-2862,-1710,885
-16480,1432,492,-9271,3480,2896
-15616,368,-172,-10214,-840,3979
-17008,468,-124,-10147,-1620,-1413
-14860,3416,624,-20506,80,-3202
-16860,700,-2252,-32767,3810,-5948
-14908,476,-2388,-32767,5635,-1641
-21340,-1880,-1820,-14717,6446,-756
-14716,444,-296,9064,4215,431
-14788,616,-276,7585,-5003,678
-17140,752,-144,-3874,-5602,2135
-18528,1800,1208,-12223,-1641,5066
-17124,576,-288,-12641,1644,5079
-16108,-768,-92,-7780,2914,1035
-15564,-352,-92,-2694,-306,-1761
-16824,384,-48,-1989,-2447,-2639
-16940,228,-92,-7385,-54,-220
-16860,248,-124,-5942,-1068,2715
-18472,-120,800,1530,2101,4337
-14768,264,-16,1368,4930,2365
-14452,-48,616,1187,-2077,-2701
-17460,404,36,-11,-4728,-5422
