ax,ay,az,gx,gy,gz,thetaG,phiG,thetaA,phiA,theta,phi
-0.1027832031,-0.2854003906,-0.8452148437,-28.3511447906,-25.6488552093,-37.2519073486,6158.3491210937,-182183.5625000000,-37.2519073486,6.5723514556,-16.0998668670,9.1187744140
-0.0366210937,-0.0922851562,-1.0319824218,-23.4809169769,-17.5648860931,-52.1374053955,3081.1750488281,-184485.4375000000,-52.1374053955,2.0242834091,-15.4488601684,7.3080930709
-0.0498046875,-0.0598144531,-1.0495605468,-19.6870231628,-33.1832046508,-34.8931312561,501.1907043457,-188834.0937500000,-34.8931312561,2.7124180793,-14.4569463729,5.2084560394
-0.1855468750,-0.2507324218,-1.0131835937,24.7633590698,-1.0916030406,-12.6335878372,3746.4289550781,-188977.1406250000,-12.6335878372,10.0801649093,-13.2881059646,5.8928194046
-0.1838378906,-0.1257324218,-0.7583007812,1.4580153465,14.4656486511,-43.1603050231,3937.5019531250,-187081.4218750000,-43.1603050231,13.4506864547,-12.6060199737,7.6412897109
-0.0791015625,-0.2412109375,-1.0068359375,12.1526718139,-5.0305342674,4.2519083023,5530.1093750000,-187740.6718750000,4.2519083023,4.3690533638,-12.2135372161,6.9366564750
-0.0573730468,-0.2160644531,-1.0881347656,-6.1832060813,-20.9312973022,42.1526718139,4719.8002929687,-190483.7187500000,42.1526718139,2.9604928970,-12.3266353607,5.4506521224
-0.0837402343,-0.2485351562,-1.0432128906,20.5496177673,13.6030530929,8.6412210464,7412.8276367187,-188701.0312500000,8.6412210464,4.4649400711,-11.6081209182,5.8809256553
-0.0935058593,-0.1784667968,-1.0163574218,32.6641235351,10.1068706512,12.6564884185,11693.4609375000,-187376.5312500000,12.6564884185,5.1776933670,-9.9664144515,6.2049832344
0.0002441406,-0.3439941406,-0.9973144531,12.7938928604,13.0381679534,48.6488533020,13370.1005859375,-185667.8750000000,48.6488533020,-0.0132593226,-10.7822666168,5.8263692855
-0.0085449218,-0.4235839843,-1.1933593750,-20.0534343719,43.8320617675,3.4198472499,10742.0976562500,-179923.6875000000,3.4198472499,0.3866211414,-12.9484844207,6.8732700347
-0.1325683593,-0.2204589843,-1.0490722656,-48.1832046508,49.1603050231,2.6259541511,4427.6884765625,-173481.2343750000,2.6259541511,7.0497527122,-14.8205213546,8.9890556335
-0.0595703125,-0.1708984375,-0.8415527343,8.5877866744,1.4580153465,-0.4961832046,5553.1176757812,-173290.1562500000,-0.4961832046,3.9682653427,-13.9501657485,8.2979030609
-0.0363769531,0.0126953125,-1.0825195312,43.5725173950,62.5343513488,2.7633588314,11263.2958984375,-165095.0312500000,2.7633588314,1.9245092391,-9.9050788879,9.9996042251
0.0314941406,-0.2370605468,-1.0876464843,-13.6870231628,54.4656486511,-2.3511450290,9469.6113281250,-157957.3125000000,-2.3511450290,-1.6205807685,-10.8446273803,10.5713672637
0.1247558593,-0.2309570312,-1.0786132812,-15.8778629302,46.0305328369,-15.5725193023,7388.8173828125,-151925.0156250000,-15.5725193023,-6.4527044296,-11.6939706802,9.9740543365
0.2263183593,-0.1313476562,-0.9743652343,19.7786254882,66.5343475341,-57.5190849304,9980.8066406250,-143205.6875000000,-57.5190849304,-12.9631319046,-10.2213706970,9.3611869812
0.2119140625,-0.2167968750,-0.9709472656,-10.0229005813,53.1297721862,-36.5038185119,8667.3056640625,-136243.0312500000,-36.5038185119,-12.0248365402,-10.9600677490,8.4112987518
0.2839355468,-0.0422363281,-0.9519042968,47.1908378601,53.7557258605,-50.4732818603,14851.6650390625,-129198.3437500000,-50.4732818603,-16.5934486389,-7.6756525039,6.9452047348
0.2556152343,-0.1193847656,-0.9121093750,28.5190830230,31.6183204650,-4.4809160232,18589.0898437500,-125054.7656250000,-4.4809160232,-15.5293388366,-6.3897361755,4.9178023338
0.2790527343,-0.2309570312,-0.9165039062,11.4809160232,16.0763359069,-17.9847335815,20093.6640625000,-122947.9609375000,-17.9847335815,-16.4489727020,-6.9763998985,2.3960306644
0.3364257812,-0.1938476562,-0.9025878906,-1.0916030406,20.0763359069,-16.0839691162,19950.6093750000,-120316.9609375000,-16.0839691162,-20.0229911804,-7.6830983161,-0.1135783195
0.3466796875,-0.1647949218,-0.8623046875,-9.3435115814,-5.4732823371,-10.3587789535,18726.1425781250,-121034.2343750000,-10.3587789535,-21.5486602783,-8.4359769821,-3.5614552497
0.3222656250,-0.2167968750,-0.9716796875,-20.3435115814,-17.0610694885,8.3282442092,16060.1250000000,-123270.0859375000,8.3282442092,-17.9367237091,-9.8287296295,-6.4428415298
0.2368164062,-0.1911621093,-0.8188476562,0.5954198360,-8.1526718139,2.7786259651,16138.1542968750,-124338.4921875000,2.7786259651,-15.7290344238,-10.2251358032,-8.1822595596
0.3542480468,-0.1557617187,-0.8833007812,-10.8778629302,-14.3664121627,23.7022895812,14712.6103515625,-126221.2109375000,23.7022895812,-21.5518646240,-10.5479421615,-10.7982730865
0.2810058593,-0.2309570312,-0.9204101562,0.4274808883,-15.5877866744,-7.0916032791,14768.6318359375,-128263.9921875000,-7.0916032791,-16.4953174591,-10.9718828201,-12.3153104782
0.3112792968,-0.2165527343,-0.9204101562,-1.0458015203,-13.3435115814,9.9389314651,14631.5791015625,-130012.6562500000,9.9389314651,-18.2219181060,-11.2552347183,-13.7684011459
0.2839355468,-0.2077636718,-0.9599609375,11.3206110000,-18.9465656280,27.3587779998,16115.1455078125,-132495.6093750000,27.3587779998,-16.1237945556,-10.8445425033,-14.9269399642
0.2453613281,-0.2539062500,-0.9904785156,-5.0076336860,-36.7404594421,27.1603050231,15458.8955078125,-137310.4531250000,27.1603050231,-13.4936237335,-11.5266246795,-16.2734127044
0.2324218750,-0.1625976562,-0.9580078125,-3.1908397674,-21.1526718139,11.0687026977,15040.7363281250,-140082.5156250000,11.0687026977,-13.4517860412,-11.3381481170,-16.7491569519
0.2094726562,-0.2412109375,-0.9736328125,3.6030533313,-23.3969459533,16.6564884185,15512.9160156250,-143148.6875000000,16.6564884185,-11.7956771850,-11.5265340805,-17.0005054473
0.1591796875,-0.2807617187,-1.0202636718,-26.0610694885,-17.4732818603,-5.0839695930,12097.6132812500,-145438.5625000000,-5.0839695930,-8.5546607971,-13.1867685317,-16.4762439727
0.1662597656,-0.2292480468,-1.0566406250,-28.4198474884,-54.1221389770,16.8396949768,8373.1923828125,-152531.2656250000,16.8396949768,-8.7419033050,-14.2311124801,-17.6162834167
