ax,ay,az,gx,gy,gz
-14660,5448,-3656,-4146,-4266,-1121
-14476,5692,-3460,-2869,795,2716
-14636,5436,-3484,-1548,4126,3071
-14572,5288,-3556,140,6825,-98
-15156,5772,-3648,1099,7384,-4972
-15672,6192,-3560,-1185,4766,641
-16096,6036,-3700,-3819,-1105,1689
-16156,6140,-3768,-4755,-6395,-4140
-15276,6040,-3736,-5504,-5960,421
-14056,5124,-3548,-3743,-1002,1359
-14224,5344,-3528,-870,3510,-3325
-15944,6356,-3660,-926,5611,1021
-16764,6400,-3828,-2089,3795,3692
-15592,5964,-3688,-1666,1814,-1912
-14308,5640,-3464,-2116,2320,1666
-14076,5260,-3352,-2075,2218,1525
-15536,5816,-3636,-1350,700,-5608
-17088,6844,-3832,-3281,-2498,-3516
-15604,5812,-3576,-4626,-4979,-2272
-13960,5328,-3384,-3034,-2405,-4444
-13936,5552,-3464,-2316,1926,1477
-15052,5700,-3640,-1675,5467,6469
-16372,6156,-3792,-511,5483,1917
-16388,6560,-3588,-1669,2227,1822
-15324,5840,-3540,-3194,-1079,2704
-14804,5432,-3524,-2759,-2871,-3581
-14952,5828,-3672,-1533,-1703,-7482
-15092,5884,-3732,-1354,1456,-2447
-15228,5616,-3580,-822,2512,-2703
-15504,6016,-3552,-1248,1100,-2788
-16148,6368,-3760,-3229,-755,4190
-15836,5844,-3776,-3926,-2038,6175
-14748,5720,-3584,-1511,1359,2020
-14656,5652,-3576,-1077,3117,4012
-15192,5632,-3604,-259,2823,-527
-16356,6268,-3828,222,1003,-6987
-16412,6556,-3880,-1220,-994,-4306
-14904,5592,-3576,-1671,-1084,-2460
-13896,5224,-3372,-842,191,-3627
-14512,5696,-3496,-1187,1350,1391
-15912,6020,-3716,-1945,1332,6582
-16688,6256,-3864,-1810,-858,2875
-15788,6160,-3732,-2152,-2584,1694
-14572,5632,-3468,-2084,-1982,2418
-14272,5256,-3536,-241,83,-2678
-15160,5784,-3688,1694,3021,-6541
-15896,6224,-3672,1273,4303,-2304
-15776,5928,-3588,243,1548,-2404
-15392,5936,-3568,-1059,-1805,-2035
-15544,6112,-3664,-2861,-3904,3799
-15180,5588,-3728,-2800,-3295,5653
-14812,5632,-3668,-674,-590,1583
-14756,5704,-3608,198,1596,2195
-15200,5720,-3588,695,2288,1100
-16232,6104,-3712,1410,1150,-4857
-16304,6400,-3800,848,-385,-5519
-14956,5732,-3624,-24,-223,-1341
-14028,5172,-3460,342,373,-1587
-14628,5632,-3492,254,550,115
-16096,6332,-3716,-924,21,5757
-16584,6132,-3868,-1301,-1904,5106
-15564,5948,-3696,-850,-3166,976
-14420,5652,-3452,-481,-2160,1125
-14320,5352,-3580,1065,390,-1271
-15276,5816,-3676,2865,2574,-6178
