ax,ay,az,gx,gy,gz
-1987,-41,-639,-32,-13,-1
-1978,-30,-634,-34,-7,-2
-1989,-36,-644,-34,-9,1
-2002,-38,-643,-35,-4,0
-1988,-22,-650,-34,-8,1
-1982,-29,-641,-36,-6,-4
-1989,-33,-652,-33,-6,1
-1992,-28,-648,-34,-8,-1
-1981,-31,-637,-38,-9,-5
-1986,-35,-630,-34,-7,-1
-1993,-30,-639,-38,-8,-6
-1981,-37,-620,-32,-8,-2
-1990,-34,-633,-36,-10,-3
-1993,-32,-636,-33,-5,-1
-1996,-28,-649,-36,-9,-4
-1993,-30,-632,-35,-4,-1
-1986,-37,-648,-36,-11,-2
-1994,-36,-648,-36,-7,-4
-1990,-32,-649,-33,-9,-3
-1987,-35,-642,-35,-6,-6
-1987,-32,-619,-35,-11,-2
-1995,-30,-635,-38,-8,0
-1983,-30,-640,-36,-8,-5
-1986,-41,-641,-34,-5,2
-1988,-27,-633,-35,-3,0
-1986,-28,-638,-34,-10,-5
-1983,-29,-630,-32,-7,-1
-1987,-31,-628,-35,-9,-6
-1987,-30,-637,-35,-10,3
-1993,-31,-639,-35,-9,-4
-1990,-31,-635,-37,-2,-1
-1984,-37,-632,-31,-11,-1
-1993,-35,-629,-37,-8,-1
-1999,-34,-642,-36,-9,0
-1991,-39,-630,-33,-8,-3
-1982,-27,-643,-34,-8,0
-1992,-28,-644,-39,-2,1
-1983,-42,-632,-33,-12,0
-1994,-27,-632,-29,-8,2
-1996,-32,-660,-34,-10,1
-1988,-36,-645,-37,-10,-1
-1990,-23,-645,-35,-1,-3
-1991,-24,-637,-32,-7,-3
-1987,-35,-646,-36,-10,-4
-2003,-39,-649,-32,-11,2
-1986,-38,-623,-37,-4,-4
-1989,-28,-637,-34,-6,-2
-1988,-28,-634,-33,-4,-1
-1995,-37,-643,-36,-3,0
-1985,-37,-639,-33,-11,3
-1986,-37,-636,-34,-7,-2
-1992,-26,-637,-33,-4,-4
-2003,-40,-633,-36,-10,1
-1999,-21,-636,-33,-5,-3
-1987,-30,-644,-30,-1,1
-1989,-28,-632,-36,-7,-5
-1988,-34,-640,-34,-8,2
-1990,-29,-633,-32,-6,-2
-1987,-25,-640,-34,-9,-1
-1988,-28,-648,-38,-9,2
-1993,-31,-650,-38,-8,-2
-1993,-24,-633,-38,-6,-1
-1988,-40,-642,-39,-9,-6
-2004,-35,-640,-34,-4,1
-1994,-39,-650,-36,-5,1
-1980,-29,-648,-36,-11,-1
-1988,-25,-630,-39,-3,0
-1983,-32,-633,-38,-4,-4
-1992,-32,-635,-37,-7,-2
-2000,-39,-646,-33,-10,0
-1985,-40,-637,-34,-10,0
